"fips" "longitude" "latitude"
"41329" 29143 -89.6528396606445 36.5977516174316
"41441" 29147 -94.8824844360352 40.3612594604492
"41553" 29151 -91.8619232177734 38.462215423584
"41665" 29155 -89.7871704101562 36.2160301208496
"41721" 29157 -89.8397445678711 37.699348449707
"41777" 29159 -93.2859115600586 38.7285118103027
"41889" 29163 -91.1779098510742 39.3470153808594
"41945" 29165 -94.7753448486328 39.3847274780273
"42001" 29167 -93.404670715332 37.6199913024902
"42113" 29171 -93.0219802856445 40.4791297912598
"42169" 29173 -91.5197448730469 39.5208473205566
"42225" 29175 -92.4962692260742 39.4397354125977
"42281" 29177 -93.9923477172852 39.3547782897949
"42449" 29183 -90.6559982299805 38.7985877990723
"42505" 29185 -93.7772827148438 38.0369987487793
"42617" 29187 -90.4725112915039 37.8308219909668
"42673" 29189 -90.4449691772461 38.6423950195312
"42729" 29195 -93.191780090332 39.1342697143555
"42785" 29197 -92.5254211425781 40.4700469970703
"42841" 29199 -92.147102355957 40.4521331787109
"42897" 29201 -89.5622406005859 37.0413780212402
"43009" 29205 -92.0763473510742 39.7974319458008
"43065" 29207 -89.9426193237305 36.8564453125
"43177" 29211 -93.1107559204102 40.2106323242188
"43345" 29217 -94.3408584594727 37.8511848449707
"43401" 29219 -91.1579742431641 38.7673034667969
"43513" 29223 -90.464958190918 37.1142997741699
"43625" 29227 -94.4187469482422 40.47900390625
"43737" 31001 -98.5011978149414 40.5246086120605
"43793" 31003 -98.0669708251953 42.1767578125
"43849" 31009 -99.9767913818359 41.9130935668945
"43905" 31011 -98.067985534668 41.7064437866211
"43961" 31015 -98.7542266845703 42.8996963500977
"44017" 31017 -99.928596496582 42.4278793334961
"44073" 31019 -99.0728378295898 40.8553276062012
"44129" 31021 -96.3515777587891 41.8509674072266
"44185" 31023 -97.1298446655273 41.225170135498
